소비구분,시도구분,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
기타숙박,경기도,14086931,12933889,14811897,14296906,14737793,14916479,15559312,16308195,14618582,14619954,14028676,15058837,13218461,12146414,14198051,13279721,14187819,14465481,14392999,15815411,13324758,14066898,13393973,13548836,11780027,10646669,9765930,9936604,11294787,10832520,11667499,12142664,9655542,11403838,11037880,9356848,9799123,9337549,10684273,10696755,11212973,10467004,10846644,10535099,9996865,11334249,11530457,11321624,10792007,10000385,11626288,12048281,12604588,12502017,13730979,13746530,12185459,13900790,12249022,12201554
기타숙박,경상남도,4291262,3870726,4364669,4352676,4440285,4120853,4619686,5072838,4051057,4290637,4141052,4505377,4050605,3782791,4406311,4205527,4176380,4072223,4169827,5064770,3598657,4094512,3811501,4021253,3665587,3048914,2621781,2902506,3590404,3299050,3534321,4311873,2882643,3498372,3285056,2735973,2758143,2729030,2987256,3127784,3223960,3119780,3307833,3357206,2920705,3506881,3482517,3451769,3387974,3076098,3206742,3578175,3620870,3638656,3955866,4337507,3236598,4173914,3457723,3540084
기타숙박,경상북도,2825485,2512878,3120956,3182475,3266083,3053049,3545417,3957168,3110548,3293194,3204991,3170793,2717189,2531901,3142757,3069342,3128487,3085021,3258542,4050111,2856251,3400446,3112574,3016941,2563433,1995992,1334731,1778391,2452807,2461589,2775947,3476828,2882643,2943092,2833726,2244836,1910030,2054326,2392081,2614284,2772532,2789518,3084778,3125019,2704236,3559657,3185353,2693481,2499383,2239595,2477294,2993559,3280764,3171041,3465768,3857961,3014380,3764725,3327262,2930710
기타숙박,광주광역시,1674567,1523571,1707949,1681144,1785022,1719417,1844528,1897644,1717589,1716781,1748502,1855954,1598786,1477418,1709877,1642576,1733785,1736498,1789184,1783322,1588338,1676922,1709684,1716698,1469878,1221433,1142750,1233445,1464527,1419992,1175086,1413664,1072963,1440865,1387267,1220403,1231254,1125239,1341862,1417340,1424913,1406071,1489935,1375767,1345539,1467524,1506855,1419498,1306013,1184905,1322722,1413632,1454504,1491775,1558486,1592247,1332978,1525114,1403003,1408627
기타숙박,대구광역시,2422500,2191416,2475560,2443728,2475528,2390145,2337782,2366980,2425523,2403213,2471058,2678086,2366186,2075249,2350880,2330311,2298106,2427898,2152509,2237995,2232226,2384812,2471287,2557710,2010858,1566588,1159823,1330145,1569765,1731550,1848954,1915122,1799884,1979530,2003078,1844424,1567884,1555557,1799208,1900501,2030884,1666771,1786173,1721731,1766005,2119257,2136545,1847102,1722429,1700986,1945872,2125070,2082455,2178104,2153271,2086913,1950999,2419940,2378706,2399241
기타숙박,대전광역시,1544589,1365988,1577983,1551275,1494438,1444575,1479223,1555346,1382682,1430874,1468560,1534490,1339877,1189636,1421669,1351261,1395048,1382487,1384059,1420217,1301692,1367513,1421981,1422256,1242445,1132385,871041,972315,1365729,1221812,1120543,1199903,1030343,1245978,1351144,1110552,1055008,944029,1109458,1053035,1311805,1106595,1087146,903791,990905,1370042,1305453,1155964,1010595,910114,1071849,1239260,1284951,1309461,1223360,1266639,1170199,1514221,1371149,1312646
기타숙박,부산광역시,5121339,4743213,5021785,4812268,5206450,5073876,5683538,6304783,4849419,4886688,4792945,5610630,4789992,4761830,4937768,4642396,4875305,5037196,5327917,6309128,4263903,4805082,4691471,5104146,4436813,3350413,2400610,2735021,3497946,3734051,4550762,5696382,3091853,3897067,3934083,3140587,2969568,3343444,3576734,3421720,3670727,3829946,4196108,3810846,3410834,4023611,3889743,4071596,4055115,3654321,3657892,4229364,4788785,4812055,6004639,6339864,4098662,4819201,4076945,4530226
기타숙박,서울특별시,13378105,11856142,13449524,12778146,13080861,13313861,14054526,14629251,13332554,13485826,13101280,15238457,12752803,11225139,13133694,11992498,12708227,12761235,12857862,13315637,12058676,13118248,12701648,13548071,11190057,9268582,7394973,7471483,8715984,8138533,8970293,9487484,6992723,8631945,8502607,7049160,7400178,7274929,8507149,8554509,9216529,9137966,9135134,8819962,8441658,10259161,11328241,11100674,10149428,9638832,10559623,11379287,11212401,11404525,12985231,12992230,10886948,12553349,11536529,12777835
기타숙박,울산광역시,1438608,1263912,1450185,1351262,1362676,1298998,1413426,1438163,1225605,1242149,1312950,1375928,1223597,1082501,1263978,1143740,1221707,1227274,1274065,1394089,1124568,1259194,1223569,1261555,1133074,946304,770255,832686,999985,1011125,1079497,1300332,865399,1062549,1048143,858119,873715,852255,961869,933570,873608,887431,1058455,1108355,914865,1062961,1005830,994285,982088,901692,1012003,1018959,1033390,1151941,1221637,1388314,1127346,1619565,1023007,1059138
기타숙박,인천광역시,3606975,3375084,3789888,3662376,3999588,3999198,4232581,4702166,4059511,3802832,3559566,3965840,3373368,3146397,3576265,3333524,3509342,3498149,3445272,3815965,3306607,3406470,3244609,3328655,2993426,2636219,2256291,2336248,2709703,2385544,2671966,2993670,2303159,2772953,2488944,2194665,2208408,2167248,2365829,2407673,2614846,2345045,2449386,2427006,2393986,2744300,2518867,2515831,2384400,2272273,2542567,2748388,2814401,2854776,3184293,3263996,2917564,3341151,2869045,2809083
기타숙박,전라남도,2624568,2503209,2978454,3090043,3131980,2890315,3606688,4410183,3075299,3341273,3179323,3206208,2948846,2921115,3294110,3171116,3457605,3325607,3771822,5497997,3263434,3944899,3698924,3551638,3277849,2660202,2305571,2602249,3718029,3423829,3712313,5600720,2630611,3840796,3490308,2731864,2542120,2854304,3095256,3371134,3764523,3631272,4528158,5234462,3601041,4449750,4036382,3629872,3640900,3197191,3100669,4096631,4606703,4575260,5537031,6560167,3988917,5115784,4130833,3807465
기타숙박,전라북도,2097473,1875024,2184359,2229754,2278308,2054296,2338642,2754498,2204370,2886111,2486105,2316376,2114900,1976404,2279238,2254474,2481901,2262339,2259326,2837134,2055319,2477627,2432116,2154957,1975334,1492957,1401549,1584281,1992319,1877734,1975662,2514068,1732929,2128043,2128034,1513871,1447625,1567306,1821058,1863279,2203793,1903271,2142452,2165528,1907403,2574988,2453402,1992793,1940669,1807926,1817541,2480825,2509063,2283588,2409821,2663278,1945654,2683076,2345866,1880915
기타숙박,제주특별자치도,3200134,2701039,2999879,3694494,3733645,3784212,4328540,4969365,3254438,3543500,3074670,3185035,2988959,2887467,2979921,3239115,3621634,3686073,4235370,4870865,2982725,3713315,3203770,3380656,3117089,1825441,1459688,1617462,2295876,2502201,3248905,4469280,2521845,3394897,3355354,2104857,1634909,2381954,2856321,3586065,3919859,3677470,4228052,3852322,3161577,4333743,4127326,3537400,3817379,3426583,3088264,3999109,4207681,4315403,4477549,5063421,3115272,4463139,3620149,3196428
기타숙박,충청남도,2929109,2601799,3171747,3240703,3320671,3179899,3487867,3643823,3155332,3273783,3131587,3019575,2676554,2394570,3024872,2986666,3254484,3152086,3164256,3782353,2782400,3270284,2889873,2673285,2350117,2004258,1861796,2171788,2666106,2595560,2627627,2900214,2395174,2866768,2586191,2198166,1986093,2004744,2435982,2634242,2837003,2793444,2922903,2905256,2526397,3016851,2806026,2638535,2307923,2149726,2447308,2894734,3060996,3019449,3295004,3394896,2852084,3391234,3006054,2660702
